counter;start;end;duration in ms
457;104338079967500;104338083501200;3
458;104338121020700;104338124477700;3
459;104338164258900;104338167568400;3
460;104338207712000;104338211071100;3
461;104338252154600;104338255878400;3
462;104338293029000;104338296224900;3
463;104338333946200;104338337132600;3
464;104338375996000;104338379465700;3
465;104338416804200;104338420074000;3
466;104338461084600;104338468377000;7
467;104338508376500;104338511529200;3
468;104338549648000;104338552796700;3
469;104338591086600;104338594260500;3
470;104338632189800;104338635532100;3
471;104338674551900;104338678267700;3
472;104338720641700;104338723788900;3
473;104338761813300;104338765093600;3
474;104338801014300;104338804270900;3
475;104338844240000;104338847444400;3
476;104338886063900;104338889393200;3
477;104338929866800;104338933134800;3
478;104338972268600;104338975453400;3
479;104339014540900;104339017725100;3
480;104339056495400;104339059793600;3
481;104339099857400;104339103497200;3
482;104339142475500;104339145712300;3
483;104339188786100;104339191960700;3
484;104339229161900;104339232368800;3
485;104339268742600;104339271938400;3
486;104339311177100;104339314466900;3
487;104339353183900;104339356481400;3
488;104339395980300;104339399198200;3
489;104339438169500;104339441304900;3
490;104339480386300;104339483678100;3
491;104339521718400;104339524890400;3
492;104339564370500;104339567605500;3
493;104339605090800;104339611999500;6
494;104339651600200;104339654733000;3
495;104339692177700;104339695474200;3
496;104339733905900;104339737206900;3
497;104339776648100;104339780522400;3
498;104339819585800;104339823156600;3
499;104339866265000;104339870367400;4
500;104339910993400;104339915158900;4
501;104339955996400;104339960085100;4
502;104340001619800;104340005897600;4
503;104340047074800;104340051240100;4
504;104340095530600;104340099677300;4
505;104340140201900;104340144208400;4
506;104340182303800;104340185632200;3
507;104340224838900;104340228237900;3
508;104340266501000;104340269861800;3
509;104340309158000;104340312542200;3
510;104340356116400;104340360205200;4
511;104340400467100;104340404547600;4
512;104340446659200;104340450769100;4
513;104340493381900;104340497749900;4
514;104340538994600;104340543678800;4
515;104340592939600;104340597400400;4
516;104340640770000;104340645499500;4
517;104340688520900;104340693425100;4
518;104340733645700;104340737627400;3
519;104340777912100;104340781973100;4
520;104340823817400;104340827745200;3
521;104340874298100;104340878672000;4
522;104340917884900;104340921826500;3
523;104340962290800;104340966312900;4
524;104341007031000;104341010982900;3
525;104341050276800;104341054846200;4
526;104341098042200;104341102074300;4
527;104341145539900;104341149736000;4
528;104341189472700;104341192912200;3
529;104341235621500;104341240175200;4
530;104341280891500;104341284422700;3
531;104341326276300;104341330017800;3
532;104341374559700;104341378625800;4
533;104341419798900;104341424027100;4
534;104341463594000;104341467525400;3
535;104341506573200;104341510134600;3
536;104341551470000;104341555584700;4
537;104341598530600;104341602321600;3
538;104341640929700;104341644335100;3
539;104341683645200;104341687580400;3
540;104341726126700;104341729752000;3
541;104341770303800;104341773578000;3
542;104341812288900;104341815562100;3
543;104341858015100;104341861191100;3
544;104341898878600;104341902220800;3
545;104341938655900;104341941937300;3
546;104341981196600;104341984405800;3
547;104342025847900;104342029445100;3
548;104342071541000;104342074657400;3
549;104342113277400;104342116501600;3
550;104342155170500;104342158440400;3
551;104342195725200;104342198838400;3
552;104342236854200;104342240116500;3
553;104342278254900;104342281433600;3
554;104342324047800;104342327145400;3
555;104342367019900;104342371235600;4
556;104342411708200;104342415089000;3
557;104342454400000;104342457536800;3
558;104342497691500;104342501455400;3
559;104342542464200;104342546022000;3
560;104342584445800;104342587608300;3
561;104342625923100;104342629130600;3
562;104342665839000;104342669182000;3
563;104342708492700;104342711699200;3
564;104342749823000;104342753004100;3
565;104342795645400;104342798817400;3
566;104342838218100;104342841427500;3
567;104342879182700;104342882356700;3
568;104342919342400;104342922521400;3
569;104342960343700;104342963541400;3
570;104343005560900;104343008899900;3
571;104343046725300;104343050377700;3
572;104343089534300;104343092724800;3
573;104343130925100;104343134081000;3
574;104343174774200;104343178148900;3
575;104343215189200;104343221800400;6
576;104343263340400;104343266672200;3
577;104343302504000;104343305658900;3
578;104343344033400;104343347191300;3
579;104343383881800;104343387058000;3
580;104343424522200;104343427710100;3
581;104343468276600;104343471959700;3
582;104343510093300;104343513360600;3
583;104343552527700;104343555768100;3
584;104343594382000;104343597624700;3
585;104343639515400;104343642699200;3
586;104343680834300;104343684080600;3
587;104343726891800;104343730127200;3
588;104343767082700;104343770304400;3
589;104343806618200;104343809789700;3
590;104343847156300;104343850331200;3
591;104343889160100;104343892329800;3
592;104343933619400;104343937245100;3
593;104343975995800;104343979226900;3
594;104344017333300;104344020526500;3
595;104344057814100;104344060984800;3
596;104344098961600;104344102224100;3
597;104344141149800;104344144429600;3
598;104344188701900;104344191956300;3
599;104344229952600;104344233476200;3
600;104344271819500;104344274998100;3
601;104344314533000;104344317995400;3
602;104344354080100;104344357239800;3
603;104344395368100;104344398801600;3
604;104344441918900;104344445119200;3
605;104344484505300;104344487693900;3
606;104344526749700;104344530215200;3
607;104344569465400;104344572778700;3
608;104344611937500;104344615166500;3
609;104344658534400;104344661722800;3
610;104344699718800;104344702998700;3
611;104344742130100;104344745392500;3
612;104344782899800;104344786096200;3
613;104344823800900;104344827301500;3
614;104344865084100;104344872043100;6
615;104344910249800;104344913354600;3
616;104344950548500;104344953969600;3
617;104344991559400;104344994701300;3
618;104345033223900;104345036542100;3
619;104345074211000;104345077367300;3
620;104345118143200;104345121223300;3
621;104345159397400;104345162552000;3
622;104345204441900;104345208388000;3
623;104345248155100;104345251293400;3
624;104345289398200;104345292546500;3
625;104345331519700;104345338242200;6
626;104345379001100;104345382186600;3
627;104345421018200;104345424234700;3
628;104345462701300;104345466193800;3
629;104345504803200;104345508170100;3
630;104345549756100;104345553126400;3
631;104345596210700;104345599577100;3
632;104345640145000;104345643783900;3
